date,cu_regime,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,nacn_consumption_tpd,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,recovery_au_pct,flag_high_nacn_low_free,flag_high_nacn_low_recovery,flag_high_nacn_high_complexed
2026-01-13,High Cu,17446.928799999998,4272.625,4.585334239456517,40.0,139.375,11.693124999999998,11.553749999999999,69.15576915634234,True,True,True
2026-01-14,High Cu,13162.884,4704.6875,6.487939877005678,42.7,100.40625,12.703750000000001,12.60334375,79.75875970508814,True,False,True
2026-01-15,High Cu,15558.001199999999,4434.4375,3.8565365324692227,30.0,477.9375,13.63,13.152062500000001,78.56424649065856,False,False,True
2026-01-16,High Cu,16604.5824,4317.625,3.938671772919746,32.7,326.90625,12.8371875,12.51028125,78.60727533816187,False,False,True
2026-01-17,High Cu,17263.2152,4460.0625,3.4755982188068884,30.0,211.625,12.8640625,12.6524375,81.71972715775955,True,False,True
2026-01-21,High Cu,16879.1756,4229.1875,4.303527714943614,40.86,269.0625,12.281875000000001,12.0128125,77.67584581711793,True,False,True
2026-01-22,High Cu,15626.4052,4158.34375,5.473747730540099,45.4,174.375,11.9134375,11.739062500000001,73.64805683021743,True,False,True
2026-01-25,High Cu,7434.5376,4131.083333333333,5.495970590020286,4.54,221.16666666666669,11.877500000000001,11.656333333333334,60.10416371222947,True,True,True
2026-01-26,High Cu,13007.509199999999,3684.416666666667,4.8864082294863955,27.24,458.5416666666667,11.634166666666667,11.175625,68.00155969662839,False,True,True
2026-01-31,High Cu,16400.3476,3813.3125,3.923392452974594,26.16,141.21875,10.752500000000001,10.611281250000001,58.67613790737269,True,True,True
2026-02-01,High Cu,15933.246,4229.6875,5.300865875038897,44.05,183.09375,12.0025,11.81940625,70.33207465672004,True,True,True
2026-02-02,High Cu,12071.3516,4320.333333333334,4.142038245327889,20.0,211.25,17.28625,17.075,63.758650224399915,True,True,True
2026-02-04,High Cu,15933.246,4293.25,4.221675859394878,30.945,187.28125,12.095624999999998,11.908343749999998,72.31301843132631,True,False,True
2026-02-05,High Cu,13702.2984,4634.285714285714,6.626625501018136,45.4,150.89285714285714,12.814999999999998,12.66410714285714,65.46646772435525,True,True,True
2026-02-06,High Cu,13650.5068,4648.59375,6.256177975751054,45.4,429.75,14.1321875,13.7024375,60.797324222589346,False,True,True
2026-02-07,High Cu,10072.9776,4189.0,8.249794976214382,45.4,319.2857142857143,12.705714285714286,12.386428571428572,61.00913389502745,False,True,True
2026-02-13,High Cu,12006.239300000001,2902.53125,4.447687461968211,26.16,222.25,8.5059375,8.2836875,62.51635205360429,True,True,False
2026-02-20,Medium Cu,11666.284300000001,2572.875,4.192851703433972,25.08,260.375,7.855625000000001,7.595250000000001,68.3338002783521,True,True,False
2026-02-21,Medium Cu,10965.0057,2550.0714285714284,4.9685336688881065,27.24,204.85714285714283,7.549999999999999,7.345142857142856,65.87657782773336,True,True,False
2026-02-22,Medium Cu,9873.264500000001,2601.53125,4.943147223494316,18.16,176.0,7.5971875,7.4211875,65.4680249905402,True,True,False
2026-02-23,High Cu,3999.8134,2836.375,5.107738275990575,10.215,136.625,7.967499999999999,7.830874999999999,60.997410513658714,True,True,False
2026-02-24,High Cu,10939.751900000001,3094.1071428571427,4.797640794760619,34.08,279.2857142857143,9.076642857142858,8.797357142857143,56.899297242813475,True,True,False
2026-02-25,High Cu,12589.0193,3093.125,3.6710564102479375,27.0,224.40625,8.8634375,8.63903125,59.369914995959846,True,True,False
2026-02-26,High Cu,12516.1718,3149.25,4.70271588953421,28.215,264.15625,9.241071428571429,8.97691517857143,62.243613869229875,True,True,False
2026-02-27,High Cu,9547.879,3090.6785714285716,4.279484480270434,30.645,305.92857142857144,9.64857142857143,9.342642857142858,60.86167290649848,False,True,False
2026-02-28,High Cu,13937.183700000001,3155.1875,4.397588588862468,20.43,220.90625,9.150937500000001,8.93003125,66.66372911023275,True,True,False
2026-03-01,High Cu,14016.830300000001,3613.125,5.095445865532095,40.777,409.5,11.185,10.775500000000001,67.584257724365,False,True,True
2026-03-02,High Cu,12380.1898,4052.1785714285716,4.092829013009155,18.89,215.89285714285714,11.756428571428572,11.540535714285715,64.48412068326856,True,True,True
2026-03-03,High Cu,10524.0355,3731.625,4.706844631985516,29.105,997.3125,12.6521875,11.654875,64.41124203688157,False,True,True
2026-03-06,High Cu,11911.0519,3609.5,5.2342144525455385,19.215,186.10714285714283,10.246785714285716,10.060678571428573,65.21657036444014,True,True,True
2026-03-07,High Cu,11716.7919,3813.1875,6.568777584929199,32.7,228.34375,11.2846875,11.05634375,62.202195600656,True,True,True
2026-03-08,High Cu,13407.825200000001,3677.0625,3.555759363569268,27.675,406.09375,11.37321875,10.967125,56.66469203158921,False,True,True
2026-03-10,High Cu,14550.074,3181.78125,3.900323805913289,22.7,261.75,9.624375,9.362625000000001,61.168134275013585,True,True,False
2026-03-11,High Cu,8884.4811,2914.1785714285716,5.115661735157498,22.7,596.6428571428571,9.531071428571428,8.93442857142857,68.69662012534243,False,True,False
2026-03-13,High Cu,9967.4806,3162.5,4.55481197525481,27.24,358.53125,9.80125,9.44271875,62.71257567379189,False,True,False
