date,cu_regime,guidance_status_v2,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,analogue_count,analog_specific_p25,analog_specific_p50,analog_specific_p75,analog_free_cn_p50,analog_complexed_p50,analog_recovery_p50
2025-10-20,High Cu,Watch,13800.823,3415.34375,5.921385992704928,624.46875,10.494906250000001,83.33730643208467,20,2.045229268171273,2.4968778183557845,3.205998659176295,576.9375,8.375609375,73.86518772054083
2025-10-21,High Cu,Watch,14845.618999999999,3357.40625,2.5994200713355236,973.90625,10.563906249999999,87.44394455464965,20,1.5947666947604742,2.1406932945232313,2.8080762861355137,691.953125,8.332234375,77.89704825296874
2025-10-22,High Cu,Watch,15715.635,3386.84375,1.4444214312689243,501.90625,10.325281250000002,84.23365236707123,20,2.0753035765549965,2.7407829856308012,3.238322017341661,569.578125,8.414203125,74.84087270244501
2025-10-23,High Cu,Watch,14625.202,3424.28125,1.552115314373094,341.84375,10.40596875,79.63639318892406,20,1.8090088474984396,2.2571010100594684,3.205998659176295,381.0625,4.91015625,80.41879487637149
2025-10-24,High Cu,Watch,14564.029,3012.75,3.506927924958128,419.625,9.28225,81.87607462308658,20,1.4335715481397386,1.9651450881194288,3.205998659176295,382.171875,5.8252187499999994,79.96409942784197
2025-10-25,Medium Cu,Normal,13748.389,2717.3125,2.064969212029133,625.5625,8.820374999999999,78.40561068368353,20,1.374812597246326,1.7366473896044656,2.1746999900883757,584.6875,4.8935781249999994,78.54854959360469
2025-10-26,Medium Cu,Normal,11955.922999999999,2310.40625,1.3290483720913895,1380.6875,7.637749999999999,76.15742246910484,20,1.2324729567504749,1.5089633693834132,2.0936505549208495,729.203125,6.6208906249999995,77.89704825296874
2025-10-27,Medium Cu,Normal,16185.599,2383.21875,0.7012406522613096,797.625,7.7689375,68.76636453814147,20,1.4038513825051582,1.8143352556912942,2.2372011432198757,647.21875,7.337859375,76.95859385349996
2025-10-28,Medium Cu,Normal,9837.201,2298.8500000000004,0.5768917398353455,688.3,7.4712,62.61741889072569,20,1.4302822327207674,2.115099946853137,2.5405502888722595,582.734375,6.654828125,76.3777903018987
2025-10-29,Medium Cu,Normal,15924.4,2248.375,0.5701941674411595,412.78125,7.07440625,71.1587483214279,20,2.045229268171273,2.483423961735033,3.205998659176295,509.421875,6.916459821428572,77.35347528380288
2025-10-30,Medium Cu,Normal,16155.498,2646.78125,3.867414053098209,354.0,7.8781875,70.64065318692569,20,2.4178209869731058,3.120215598286033,3.7999361137519543,399.40625,7.3333080357142855,74.0153876730399
2025-10-31,High Cu,Watch,12064.675,2963.464285714286,5.178755333235252,576.6428571428571,9.038357142857143,78.42485289849458,20,3.1619992910786574,3.7112351141375033,4.39791975808693,457.84375,8.079772321428571,73.416924473055
2025-11-01,High Cu,Watch,11872.417,3494.46875,4.588787607443371,502.96875,10.58984375,81.17377473712418,20,3.210430009786321,3.9158370330591357,4.51184361204394,402.03125,8.4061875,72.296660419528
2025-11-02,High Cu,Watch,14511.595,3240.09375,3.441386008912184,694.5625,10.1445,78.20360859228391,20,1.8721874859987808,2.7407829856308012,3.6212609469736114,576.9464285714286,8.74790625,78.77186234251916
