date,throughput_tpd,rt_hours_est,nacn_input_tpd,wad_cn_accountability_pct,cu_solution_fraction_pct_est,flag_count,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt
2025-05-12,13684.95,30.581,22.49,244.461,196.76,2,True,True,False,False,False
2025-05-13,14596.35,28.672,12.485,485.327,277.55,2,True,True,False,False,False
2025-05-14,14942.35,28.008,14.755,374.318,249.167,2,True,True,False,False,False
2025-05-15,9020.623,46.394,11.35,279.229,175.136,2,True,True,False,False,False
2025-05-16,12368.259,33.837,17.025,280.692,174.289,2,True,True,False,False,False
2025-05-17,11880.2,35.227,23.835,195.324,221.309,2,True,True,False,False,False
2025-05-18,9736.695,42.982,13.62,291.978,133.509,2,True,True,False,False,False
2025-05-19,10213.448,40.976,13.62,295.736,445.791,2,True,True,False,False,False
2025-05-20,8501.471,49.227,10.215,361.926,325.393,2,True,True,False,False,False
2025-05-21,10873.93,38.487,12.415,298.453,1265.309,2,True,True,False,False,False
2025-05-22,7498.97,55.808,12.81,205.109,224.645,2,True,True,False,False,False
2025-05-23,10559.235,39.634,12.8,284.811,243.705,2,True,True,False,False,False
2025-05-24,11418.522,36.651,32.0,145.229,108.322,2,True,True,False,False,False
2025-05-25,12916.62,32.4,20.4,282.155,165.139,2,True,True,False,False,False
2025-05-26,13391.489,31.251,28.38,214.757,275.357,2,True,True,False,False,False
2025-05-27,14599.233,28.666,11.35,542.648,779.5,2,True,True,False,False,False
2025-05-28,13993.191,29.908,4.505,1371.364,276.549,2,True,True,False,False,False
2025-05-29,12120.836,34.528,6.74,731.251,243.288,2,True,True,False,False,False
2025-05-30,2310.951,181.096,2.27,365.476,690.236,3,True,True,False,True,False
2025-05-31,1989.377,210.369,0.0,,87.245,2,True,False,False,True,False
2025-06-01,11750.741,35.615,6.64,578.91,267.825,2,True,True,False,False,False
2025-06-02,11515.746,36.342,6.74,536.917,122.649,2,True,True,False,False,False
2025-06-03,5447.716,76.822,5.605,310.534,147.866,3,True,True,False,True,False
2025-06-07,6808.194,61.47,7.718,295.006,366.363,2,True,True,False,False,False
2025-06-08,5807.217,72.066,12.485,190.938,478.389,3,True,True,False,True,False
2025-06-09,13405.146,31.22,13.62,393.936,314.696,2,True,True,False,False,False
2025-06-10,8279.136,50.549,7.945,399.108,266.09,2,True,True,False,False,False
2025-06-11,4665.735,89.697,4.47,425.518,251.152,3,True,True,False,True,False
2025-06-12,12810.18,32.67,2.235,2252.528,308.236,2,True,True,False,False,False
2025-06-13,7957.428,52.593,7.84,370.805,624.059,2,True,True,False,False,False
2025-06-14,10302.408,40.622,7.875,458.375,221.584,2,True,True,False,False,False
2025-06-15,12571.806,33.289,7.875,520.433,365.223,2,True,True,False,False,False
2025-06-16,13798.56,30.329,4.47,956.947,208.531,2,True,True,False,False,False
2025-06-17,5145.39,81.336,4.47,329.501,168.795,3,True,True,False,True,False
2025-06-18,10025.274,41.745,13.62,207.94,272.023,2,True,True,False,False,False
2025-06-19,13566.0,30.849,22.7,181.527,499.467,2,True,True,False,False,False
2025-06-20,13686.156,30.579,12.08,375.293,126.351,2,True,True,False,False,False
2025-06-21,8898.327,47.032,12.215,244.039,244.916,2,True,True,False,False,False
2025-06-22,13472.007,31.065,22.7,185.982,43.583,1,False,True,False,False,False
2025-06-23,10319.85,40.553,31.78,139.308,62.74,2,True,True,False,False,False
2025-06-24,12397.386,33.757,30.645,181.885,46.234,1,False,True,False,False,False
2025-06-25,10871.211,38.496,4.556,1242.608,66.253,2,True,True,False,False,False
2025-06-26,12696.807,32.961,24.97,258.563,390.654,2,True,True,False,False,False
2025-06-27,13402.239,31.226,24.4,285.857,286.525,2,True,True,False,False,False
2025-06-28,10015.584,41.785,11.0,478.927,262.443,2,True,True,False,False,False
2025-06-29,4938.024,84.751,8.0,311.096,83.992,3,True,True,False,True,False
2025-06-30,8714.217,48.025,13.2,307.242,274.396,2,True,True,False,False,False
2025-07-01,3871.155,108.108,11.5,156.95,304.504,3,True,True,False,True,False
2025-07-02,1124.04,372.32,9.08,47.66,373.415,3,True,False,True,True,False
2025-07-03,8471.967,49.399,27.24,131.325,511.609,2,True,True,False,False,False
2025-07-04,3067.854,136.416,6.81,186.954,495.24,3,True,True,False,True,False
2025-07-05,5381.826,77.762,24.96,98.796,645.968,2,True,False,False,True,False
2025-07-06,12513.666,33.444,18.16,324.47,1255.744,2,True,True,False,False,False
2025-07-07,12570.837,33.292,10.216,599.871,592.683,2,True,True,False,False,False
2025-07-08,12295.501,34.037,15.69,362.831,798.816,2,True,True,False,False,False
2025-07-09,13439.291,31.14,3.27,1916.743,267.707,2,True,True,False,False,False
2025-07-10,11710.856,35.736,2.0,2522.226,414.744,2,True,True,False,False,False
2025-07-11,2653.1,157.741,0.0,,197.314,2,True,False,False,True,False
2025-07-12,8119.866,51.541,6.4,470.952,396.019,2,True,True,False,False,False
2025-07-13,8890.578,47.073,12.1,233.531,166.266,2,True,True,False,False,False
2025-07-14,11585.237,36.124,14.6,252.109,142.49,2,True,True,False,False,False
2025-07-15,13415.678,31.195,14.0,293.947,188.035,2,True,True,False,False,False
2025-07-16,13469.514,31.07,10.81,383.931,241.232,2,True,True,False,False,False
2025-07-17,10540.62,39.704,17.025,199.093,131.106,2,True,True,False,False,False
2025-07-18,8089.642,51.733,13.62,189.768,155.596,2,True,True,False,False,False
2025-07-19,10587.83,39.527,17.025,211.523,157.863,2,True,True,False,False,False
2025-07-20,11338.794,36.909,17.025,231.022,81.275,2,True,True,False,False,False
2025-07-21,2660.776,157.286,10.215,90.993,716.756,2,True,False,False,True,False
2025-07-25,3121.075,134.089,0.0,,1056.84,2,True,False,False,True,False
2025-07-26,7337.147,57.039,17.0,170.373,1103.193,2,True,True,False,False,False
2025-07-27,6583.324,63.57,15.0,172.428,989.325,2,True,True,False,False,False
2025-07-28,7483.909,55.92,11.0,251.646,665.071,2,True,True,False,False,False
2025-07-29,7603.987,55.037,10.0,282.203,1265.995,2,True,True,False,False,False
2025-07-30,6538.533,64.006,9.405,266.037,2454.817,2,True,True,False,False,False
2025-07-31,5510.246,75.95,6.81,297.899,1484.251,3,True,True,False,True,False
2025-08-01,5694.175,73.497,4.54,456.119,655.873,3,True,True,False,True,False
2025-08-02,6394.63,65.446,4.55,489.786,833.551,2,True,True,False,False,False
2025-08-03,6468.964,64.694,4.54,460.712,969.232,2,True,True,False,False,False
2025-08-04,7652.59,54.688,5.675,416.871,465.72,2,True,True,False,False,False
2025-08-05,10057.009,41.613,9.08,328.265,246.54,2,True,True,False,False,False
2025-08-06,11674.25,35.848,5.0,633.62,235.962,2,True,True,False,False,False
2025-08-07,7454.366,56.142,4.54,420.608,123.848,2,True,True,False,False,False
2025-08-08,9040.158,46.294,13.62,177.503,44.26,1,False,True,False,False,False
2025-08-09,11148.194,37.54,22.7,142.606,77.086,2,True,True,False,False,False
2025-08-10,8307.301,50.378,22.7,118.998,188.28,2,True,True,False,False,False
2025-08-11,7866.062,53.204,22.7,116.475,153.673,2,True,True,False,False,False
2025-08-12,11195.769,37.38,23.835,162.288,105.147,2,True,True,False,False,False
2025-08-13,10067.63,41.569,22.7,159.663,52.758,2,True,True,False,False,False
2025-08-14,13187.654,31.734,40.86,143.302,208.755,2,True,True,False,False,False
2025-08-15,10097.739,41.445,0.0,,321.705,1,True,False,False,False,False
2025-08-16,11702.914,35.761,27.24,223.35,388.804,2,True,True,False,False,False
2025-08-17,12143.255,34.464,19.025,312.198,242.902,2,True,True,False,False,False
2025-08-18,11224.937,37.283,8.0,681.74,271.563,2,True,True,False,False,False
2025-08-19,9625.407,43.479,8.0,592.822,322.883,2,True,True,False,False,False
2025-08-20,10969.012,38.153,15.0,287.845,234.357,2,True,True,False,False,False
2025-08-21,11241.873,37.227,28.0,169.08,384.398,2,True,True,False,False,False
2025-08-22,12952.429,32.311,20.0,263.663,150.607,2,True,True,False,False,False
2025-08-23,12373.776,33.822,12.0,431.664,209.43,2,True,True,False,False,False
2025-08-24,13455.811,31.102,35.0,167.861,155.209,2,True,True,False,False,False
2025-08-25,13292.348,31.484,28.0,225.198,140.92,2,True,True,False,False,False
2025-08-26,13998.247,29.897,28.0,247.532,186.196,2,True,True,False,False,False
2025-08-27,14673.496,28.521,20.0,387.655,109.766,2,True,True,False,False,False
2025-08-28,3822.58,109.482,14.35,135.722,101.208,3,True,True,False,True,False
2025-08-29,4130.034,101.332,6.81,326.683,132.643,3,True,True,False,True,False
2025-08-30,10638.285,39.339,35.24,158.11,220.586,2,True,True,False,False,False
2025-08-31,7615.468,54.954,12.405,374.113,475.531,2,True,True,False,False,False
2025-09-01,13540.419,30.908,25.35,302.656,111.291,2,True,True,False,False,False
2025-09-02,13097.915,31.952,35.185,210.652,107.602,2,True,True,False,False,False
2025-09-03,14829.617,28.221,36.941,241.517,167.268,2,True,True,False,False,False
2025-09-04,13083.548,31.987,49.0,172.523,206.698,2,True,True,False,False,False
2025-09-05,11109.522,37.671,55.0,142.631,620.576,3,True,True,True,False,False
2025-09-06,7274.491,57.53,17.0,315.745,50.786,2,True,True,False,False,False
2025-09-07,11532.87,36.288,41.0,197.711,51.194,2,True,True,False,False,False
2025-09-08,14688.821,28.491,61.45,189.317,116.218,2,True,True,False,False,False
2025-09-09,11641.101,35.95,49.995,184.946,165.428,2,True,True,False,False,False
2025-09-10,13084.506,31.985,60.255,176.607,382.673,2,True,True,False,False,False
2025-09-11,12708.09,32.932,38.59,256.039,76.381,2,True,True,False,False,False
2025-09-12,13371.846,31.297,57.885,196.934,115.182,2,True,True,False,False,False
2025-09-13,10892.102,38.423,48.805,189.03,193.235,2,True,True,False,False,False
2025-09-14,8660.428,48.324,61.29,128.214,159.734,3,True,True,True,False,False
2025-09-15,6300.408,66.425,61.29,116.078,205.182,3,True,True,True,False,False
2025-09-16,13423.567,31.177,37.455,366.948,387.071,2,True,True,False,False,False
2025-09-17,15103.548,27.709,43.22,362.256,415.311,2,True,True,False,False,False
2025-09-18,15059.489,27.79,24.97,569.857,533.304,2,True,True,False,False,False
2025-09-19,15771.135,26.536,43.13,334.126,576.75,2,True,True,False,False,False
2025-09-20,16036.445,26.097,27.24,521.67,228.798,3,True,True,False,False,True
2025-09-21,6503.462,64.351,22.7,241.612,87.504,2,True,True,False,False,False
2025-09-22,12365.198,33.845,39.725,258.176,194.525,2,True,True,False,False,False
2025-09-23,13742.792,30.453,54.48,219.366,160.885,2,True,True,False,False,False
2025-09-24,15480.099,27.035,37.455,371.245,89.293,2,True,True,False,False,False
2025-09-25,14857.436,28.168,47.6,278.538,264.336,2,True,True,False,False,False
2025-09-26,15757.799,26.558,34.0,446.374,285.52,2,True,True,False,False,False
2025-09-27,16746.565,24.99,46.535,342.597,891.726,3,True,True,False,False,True
2025-09-28,15167.806,27.592,51.075,300.535,534.076,2,True,True,False,False,False
2025-09-29,16391.993,25.531,44.265,386.933,590.584,3,True,True,False,False,True
2025-09-30,13735.105,30.47,19.295,747.033,399.684,2,True,True,False,False,False
2025-10-01,15761.643,26.552,20.43,747.675,773.996,2,True,True,False,False,False
2025-10-02,14429.835,29.003,30.645,448.328,614.782,2,True,True,False,False,False
2025-10-03,2972.064,140.812,10.215,264.911,717.876,3,True,True,False,True,False
2025-10-06,9553.268,43.807,9.08,820.655,588.213,2,True,True,False,False,False
2025-10-07,14419.265,29.024,18.16,600.968,454.379,2,True,True,False,False,False
2025-10-08,9514.832,43.984,21.565,315.646,622.998,2,True,True,False,False,False
2025-10-09,15877.912,26.358,30.645,377.453,760.276,3,True,True,False,False,True
2025-10-10,16678.341,25.093,41.995,301.934,354.856,3,True,True,False,False,True
2025-10-11,15586.759,26.85,38.59,305.808,553.945,2,True,True,False,False,False
2025-10-12,14707.535,28.455,30.645,362.949,303.143,2,True,True,False,False,False
2025-10-13,17822.705,23.481,24.97,548.617,742.705,3,True,True,False,False,True
2025-10-14,16034.123,26.101,35.0,332.765,270.455,3,True,True,False,False,True
2025-10-15,14279.526,29.308,48.805,232.677,125.028,2,True,True,False,False,False
2025-10-16,15128.18,27.664,33.945,361.938,109.604,2,True,True,False,False,False
2025-10-17,14378.568,29.106,47.67,273.576,285.222,2,True,True,False,False,False
2025-10-18,13635.753,30.692,37.455,338.709,133.246,2,True,True,False,False,False
2025-10-19,11716.086,35.72,68.1,175.268,236.565,3,True,True,True,False,False
2025-10-20,13800.823,30.324,81.72,197.167,639.334,3,True,True,True,False,False
2025-10-21,14845.619,28.19,38.59,477.655,5364.293,2,True,True,False,False,False
2025-10-22,15715.635,26.63,22.7,788.032,464.496,2,True,True,False,False,False
2025-10-23,14625.202,28.615,22.7,716.281,1373.814,2,True,True,False,False,False
2025-10-24,14564.029,28.735,51.075,302.045,1259.091,2,True,True,False,False,False
2025-10-25,13748.389,30.44,28.39,481.666,643.936,2,True,True,False,False,False
2025-10-26,11955.923,35.004,15.89,723.732,563.918,2,True,True,False,False,False
2025-10-27,16185.599,25.856,11.35,1285.044,603.577,3,True,True,False,False,True
2025-10-28,9837.201,42.543,5.675,1499.415,689.18,2,True,True,False,False,False
2025-10-29,15924.4,26.281,9.08,1403.031,315.265,3,True,True,False,False,True
2025-10-30,16155.498,25.905,62.48,210.444,194.952,3,True,True,False,False,True
2025-10-31,12064.675,34.688,62.48,186.145,142.74,3,True,True,True,False,False
