pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
9,Production,legacy_bounds_fit,top_crest,3,444113.9616101086,6812707.605602587,200.0
9,Production,legacy_bounds_fit,top_crest,4,444244.915158788,6812705.062815232,200.0
9,Production,legacy_bounds_fit,top_crest,5,444244.915158788,6812605.309713032,200.0
9,Production,legacy_bounds_fit,top_crest,6,444178.4145840064,6812605.309713032,200.0
9,Production,legacy_bounds_fit,top_crest,7,444104.76544161513,6812610.388964231,200.0
9,Production,legacy_bounds_fit,top_crest,8,444108.8974438698,6812654.070130925,200.0
9,Production,legacy_bounds_fit,top_crest,9,444114.00596517534,6812696.073528327,200.0
10,Production,legacy_bounds_fit,bottom_toe_floor,1,444433.71705457225,6812532.36253701,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,2,444405.63106190256,6812518.319540676,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,3,444368.1830716766,6812508.957543118,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,4,444337.7565796177,6812501.936044952,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,5,444336.41333649034,6812513.465548461,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,6,444324.88383297744,6812622.471763492,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,7,444323.7322178323,6812622.311816944,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,8,444323.71358328284,6812622.471763492,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,9,444404.46081220807,6812643.536257993,185.0
10,Production,legacy_bounds_fit,bottom_toe_floor,10,444433.71705457225,6812532.36253701,185.0
10,Production,legacy_bounds_fit,top_crest,1,444320.0478629957,6812616.288141273,200.0
10,Production,legacy_bounds_fit,top_crest,2,444318.9552049182,6812616.136383207,200.0
10,Production,legacy_bounds_fit,top_crest,3,444317.7412651339,6812626.556032912,200.0
10,Production,legacy_bounds_fit,top_crest,4,444408.3541596275,6812650.194179301,200.0
10,Production,legacy_bounds_fit,top_crest,5,444440.125568036,6812529.462827349,200.0
10,Production,legacy_bounds_fit,top_crest,6,444407.5366116645,6812513.168349165,200.0
10,Production,legacy_bounds_fit,top_crest,7,444369.4590614588,6812503.648961612,200.0
10,Production,legacy_bounds_fit,top_crest,8,444333.03969698714,6812495.244492889,200.0
10,Production,legacy_bounds_fit,top_crest,9,444330.98711233854,6812512.8625111235,200.0
10,Production,legacy_bounds_fit,top_crest,10,444320.0478629957,6812616.288141273,200.0
11,Production,legacy_bounds_fit,bottom_toe_floor,1,443944.5526822431,6812793.328218898,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,2,443996.9362298776,6812807.515429717,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,3,444001.59483291866,6812808.362273905,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,4,444003.7391121706,6812808.802593503,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,5,444017.3958626367,6812811.931799984,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,6,444031.18613336404,6812814.859718006,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,7,444031.6305738019,6812814.956274524,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,8,444044.0088929438,6812817.706745882,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,9,444053.8762711314,6812819.170195106,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,10,444095.3002910432,6812824.496140525,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,11,444099.7028372201,6812824.9844879955,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,12,444114.06041998364,6812826.401848473,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,13,444125.87011981645,6812827.336191285,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,14,444117.7496370391,6812702.048742723,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,15,443942.212182854,6812721.94298753,185.0
11,Production,legacy_bounds_fit,bottom_toe_floor,16,443944.5526822431,6812793.328218898,185.0
11,Production,legacy_bounds_fit,top_crest,1,443939.22836684814,6812797.542458366,200.0
11,Production,legacy_bounds_fit,top_crest,2,443995.7322474801,6812812.845592705,200.0
11,Production,legacy_bounds_fit,top_crest,3,444000.55738720036,6812813.72271005,200.0
11,Production,legacy_bounds_fit,top_crest,4,444002.5801898006,6812814.138084878,200.0
11,Production,legacy_bounds_fit,top_crest,5,444016.2191639987,6812817.263218237,200.0
11,Production,legacy_bounds_fit,top_crest,6,444030.0396488305,6812820.197551248,200.0
11,Production,legacy_bounds_fit,top_crest,7,444030.45891410083,6812820.288638356,200.0
11,Production,legacy_bounds_fit,top_crest,8,444043.01503167,6812823.078616652,200.0
11,Production,legacy_bounds_fit,top_crest,9,444053.1276173461,6812824.578433055,200.0
11,Production,legacy_bounds_fit,top_crest,10,444094.6511844103,6812829.917177393,200.0
11,Production,legacy_bounds_fit,top_crest,11,444099.13368872774,6812830.41439413,200.0
11,Production,legacy_bounds_fit,top_crest,12,444113.5769003385,6812831.840207768,200.0
11,Production,legacy_bounds_fit,top_crest,13,444131.72612384876,6812833.276111878,200.0
11,Production,legacy_bounds_fit,top_crest,14,444122.8272226379,6812695.978778915,200.0
11,Production,legacy_bounds_fit,top_crest,15,443936.590437543,6812717.085614557,200.0
11,Production,legacy_bounds_fit,top_crest,16,443939.22836684814,6812797.542458366,200.0
12,Production,legacy_bounds_fit,bottom_toe_floor,1,444403.29056251346,6812644.706507688,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,2,444322.54333358834,6812623.642013187,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,3,444239.455605274,6812612.102050921,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,4,444239.455605274,6812699.708243333,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,5,444238.2853555795,6812699.730966628,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,6,444238.2853555795,6812700.878493028,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,7,444384.5665674004,6812718.432238445,185.0
12,Production,legacy_bounds_fit,bottom_toe_floor,8,444403.29056251346,6812644.706507688,185.0
12,Production,legacy_bounds_fit,top_crest,1,444233.99605176004,6812694.353671432,200.0
12,Production,legacy_bounds_fit,top_crest,2,444232.82580206555,6812694.376394726,200.0
12,Production,legacy_bounds_fit,top_crest,3,444232.82580206555,6812705.722068403,200.0
12,Production,legacy_bounds_fit,top_crest,4,444388.67764918815,6812724.424290056,200.0
12,Production,legacy_bounds_fit,top_crest,5,444409.91734969313,6812640.792969319,200.0
12,Production,legacy_bounds_fit,top_crest,6,444323.6115826063,6812618.278421384,200.0
12,Production,legacy_bounds_fit,top_crest,7,444233.99605176004,6812605.831819878,200.0
12,Production,legacy_bounds_fit,top_crest,8,444233.99605176004,6812694.353671432,200.0
13,Production,legacy_bounds_fit,bottom_toe_floor,1,443863.8054533179,6812757.050478367,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,2,443889.5509465986,6812769.923225008,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,3,443943.3824325485,6812793.328218898,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,4,443941.0419331594,6812723.1132372245,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,5,443934.020434992,6812641.195758605,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,6,443849.76245698315,6812658.749504022,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,7,443850.93270667776,6812747.688480809,185.0
13,Production,legacy_bounds_fit,bottom_toe_floor,8,443863.8054533179,6812757.050478367,185.0
13,Production,legacy_bounds_fit,top_crest,1,443860.9597229999,6812761.7315796,200.0
13,Production,legacy_bounds_fit,top_crest,2,443887.2400656094,6812774.871750905,200.0
