MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
43853590,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,418.8053,406.6779,420.1819,1.3765869141,13.5039978027,5100001338484,1,251.0,0.1328647435,51.724319458,1378.2281494141,6.098315239,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,6EE3D0DE-A8F4-EE11-8D94-0030646254DD
43853591,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,419.1107,406.6779,420.1819,1.0712280273,13.5039978027,5100001338484,1,251.0,0.2627516985,51.9762611389,1457.7772216797,6.1013455391,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,BFB5A58C-A8F4-EE11-8D94-0030646254DD
43853592,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,419.4171,406.6779,420.1819,0.7648010254,13.5039978027,5100001338484,1,251.0,0.4819564819,50.0421180725,1519.8726806641,6.1146264076,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,F390DC62-A8F4-EE11-8D94-0030646254DD
43853593,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,419.7223,406.6779,420.1819,0.4596252441,13.5039978027,5100001338484,1,251.0,0.8715949059,47.2850914001,1389.5382080078,6.0615348816,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,2F223A4C-A8F4-EE11-8D94-0030646254DD
43853594,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,420.0273,406.6779,420.1819,0.1546020508,13.5039978027,5100001338484,1,251.0,1.0307804346,16.7273864746,1062.3321533203,5.7169365883,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,1990A33A-A8F4-EE11-8D94-0030646254DD
43854212,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,408.488,428.378,420.4075,11.9194641113,11.9194641113,5100001338593,3,251.0,0.2691342533,68.8905639648,1623.5133056641,12.5977153778,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,C2D545E3-B1F4-EE11-8ECC-0030646A8088
43854213,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,408.6136,428.378,420.4075,11.7939147949,11.9194641113,5100001338593,3,251.0,0.8320646882,68.9780349731,2012.1508789063,15.5037059784,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,DDAE9D5B-B1F4-EE11-8ECC-0030646A8088
43854214,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,408.9186,428.378,420.4075,11.488861084,11.9194641113,5100001338593,3,251.0,0.9638130069,68.8927688599,2068.7888183594,15.4919757843,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,4E0D784E-B1F4-EE11-8ECC-0030646A8088
43854215,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,409.2238,428.378,420.4075,11.1836853027,11.9194641113,5100001338593,3,251.0,1.8379296064,73.3756713867,2010.5535888672,15.4345607758,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,CD186343-B1F4-EE11-8ECC-0030646A8088
43854216,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,409.5301,428.378,420.4075,10.8773803711,11.9194641113,5100001338593,3,251.0,2.3003623486,74.0392913818,1721.8977050781,12.6268978119,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,E051A738-B1F4-EE11-8ECC-0030646A8088
