pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
8,Production,auto_grid,bottom_toe_floor,2,444405.5180221113,6812425.738448369,185.0
8,Production,auto_grid,bottom_toe_floor,3,444367.42066151154,6812425.875395188,185.0
8,Production,auto_grid,bottom_toe_floor,4,444352.2358829752,6812426.079554255,185.0
8,Production,auto_grid,bottom_toe_floor,5,444353.7994217227,6812449.507812991,185.0
8,Production,auto_grid,bottom_toe_floor,6,444463.55527426937,6812442.183003658,185.0
8,Production,auto_grid,bottom_toe_floor,7,444462.4690755214,6812425.907266745,185.0
8,Production,auto_grid,bottom_toe_floor,8,444454.14563483273,6812425.8376176795,185.0
8,Production,auto_grid,top_crest,1,444454.1740436097,6812420.378110748,200.0
8,Production,auto_grid,top_crest,2,444405.513776476,6812420.278874844,200.0
8,Production,auto_grid,top_crest,3,444367.3741493806,6812420.415973596,200.0
8,Production,auto_grid,top_crest,4,444346.4050280304,6812420.697903045,200.0
8,Production,auto_grid,top_crest,5,444348.71553297795,6812455.318796073,200.0
8,Production,auto_grid,top_crest,6,444469.366257351,6812447.266892403,200.0
8,Production,auto_grid,top_crest,7,444467.5792587314,6812420.490283195,200.0
8,Production,auto_grid,top_crest,8,444454.1740436097,6812420.378110748,200.0
9,Production,auto_grid,bottom_toe_floor,1,443861.3317756189,6812519.527896436,185.0
9,Production,auto_grid,bottom_toe_floor,2,443853.27419520885,6812522.11523315,185.0
9,Production,auto_grid,bottom_toe_floor,3,443844.7138607476,6812523.882531178,185.0
9,Production,auto_grid,bottom_toe_floor,4,443836.22518569435,6812524.939584858,185.0
9,Production,auto_grid,bottom_toe_floor,5,443827.55804996745,6812525.486160524,185.0
9,Production,auto_grid,bottom_toe_floor,6,443819.91368517576,6812525.602729483,185.0
9,Production,auto_grid,bottom_toe_floor,7,443814.9748542889,6812525.825396856,185.0
9,Production,auto_grid,bottom_toe_floor,8,443811.4953077053,6812526.12186293,185.0
9,Production,auto_grid,bottom_toe_floor,9,443810.2038587109,6812526.305277259,185.0
9,Production,auto_grid,bottom_toe_floor,10,443808.3862944254,6812526.974493159,185.0
9,Production,auto_grid,bottom_toe_floor,11,443802.4442536686,6812529.550797808,185.0
9,Production,auto_grid,bottom_toe_floor,12,443793.8043204245,6812533.624592392,185.0
9,Production,auto_grid,bottom_toe_floor,13,443782.9875286945,6812538.992766436,185.0
9,Production,auto_grid,bottom_toe_floor,14,443774.4729230832,6812543.463798461,185.0
9,Production,auto_grid,bottom_toe_floor,15,443768.599140017,6812546.810394884,185.0
9,Production,auto_grid,bottom_toe_floor,16,443766.06378793454,6812548.453840809,185.0
9,Production,auto_grid,bottom_toe_floor,17,443766.02456139965,6812548.486096318,185.0
9,Production,auto_grid,bottom_toe_floor,18,443765.70234566386,6812548.810176837,185.0
9,Production,auto_grid,bottom_toe_floor,19,443765.22710486635,6812549.390409098,185.0
9,Production,auto_grid,bottom_toe_floor,20,443764.592767609,6812550.327101227,185.0
9,Production,auto_grid,bottom_toe_floor,21,443764.13347683375,6812551.14723065,185.0
9,Production,auto_grid,bottom_toe_floor,22,443763.4584727482,6812552.739340885,185.0
9,Production,auto_grid,bottom_toe_floor,23,443762.37900196685,6812556.018031884,185.0
9,Production,auto_grid,bottom_toe_floor,24,443761.1377899696,6812560.801349728,185.0
9,Production,auto_grid,bottom_toe_floor,25,443759.2916118453,6812569.763945804,185.0
9,Production,auto_grid,bottom_toe_floor,26,443756.2053762441,6812579.589827843,185.0
9,Production,auto_grid,bottom_toe_floor,27,443865.8911110798,6812572.269697978,185.0
9,Production,auto_grid,bottom_toe_floor,28,443862.34184038924,6812519.086985241,185.0
9,Production,auto_grid,bottom_toe_floor,29,443861.3317756189,6812519.527896436,185.0
9,Production,auto_grid,top_crest,1,443859.4002059309,6812514.414020624,200.0
9,Production,auto_grid,top_crest,2,443851.8837056681,6812516.827613303,200.0
9,Production,auto_grid,top_crest,3,443843.8231980222,6812518.491721094,200.0
9,Production,auto_grid,top_crest,4,443835.7155859369,6812519.501322844,200.0
9,Production,auto_grid,top_crest,5,443827.34450018004,6812520.029228708,200.0
9,Production,auto_grid,top_crest,6,443819.74907989247,6812520.145051312,200.0
9,Production,auto_grid,top_crest,7,443814.62002141384,6812520.376295103,200.0
