Date,Shift,Sample,Throughput,PercentSolids,Grade_Au,AU_tailing,Grade_Ag,Grade_Cu,NaCN_Added,NaCN_conc_tailing,Weight_Retained_g_150_plus100mesh,Weight_Retained_g_75_plus200mesh,Weight_Retained_g_46_plus300mesh,Weight_Retained_g_38_plus400mesh,Weight_Retained_g_38_minus400mesh,Weight_Retained_g_Total,Weight_Retained_pct_150_plus100mesh,Weight_Retained_pct_75_plus200mesh,Weight_Retained_pct_46_plus300mesh,Weight_Retained_pct_38_plus400mesh,Weight_Retained_pct_38_minus400mesh,Weight_Retained_pct_Total,Cum_Weight_Passing_pct_150_plus100mesh,Cum_Weight_Passing_pct_75_plus200mesh,Cum_Weight_Passing_pct_46_plus300mesh,Cum_Weight_Passing_pct_38_plus400mesh,Cum_Weight_Passing_pct_38_minus400mesh,pct_Passing_75µm,P80_µm,Au_Assay_150_plus100mesh,Au_Assay_75_plus200mesh,Au_Assay_46_plus300mesh,Au_Assay_38_plus400mesh,Au_Assay_38_minus400mesh,pct_Dist_Retained_Au_150_plus100mesh,pct_Dist_Retained_Au_75_plus200mesh,pct_Dist_Retained_Au_46_plus300mesh,pct_Dist_Retained_Au_38_plus400mesh,pct_Dist_Retained_Au_38_minus400mesh,pctCum_Passing_Au_150_plus100mesh,pctCum_Passing_Au_75_plus200mesh,pctCum_Passing_Au_46_plus300mesh,pctCum_Passing_Au_38_plus400mesh,pctCum_Passing_Au_38_minus400mesh,pct_Passing_75µm_2,Au_P80_µm,Slurry_Volume_m3,Residence_Time_hr
2024-08-17,AM/PM,Leach Feed DS (06-18),739.819936852303,34.0,0.5775122826848351,0.0403805987827795,18.656636459037692,104.89480810026656,1.0110066782092506,56.25,0.2,2.7,13.7,7.5,109.0,133.1,0.0015026296018031556,0.0202854996243426,0.10293012772351615,0.056348610067618335,0.8189331329827197,1.0,0.9984973703981969,0.9782118707738543,0.8752817430503381,0.8189331329827197,0,0.9782118707738543,17.994774278964712,0.004232365145228216,0.05713692946058092,0.2899170124481328,0.15871369294605808,0.77,9.484575174952054e-06,0.001728563825635012,0.04450399786466878,0.013337683839776326,0.9404202698947449,0.9999905154248251,0.9982619515991901,0.9537579537345213,0.940420269894745,0,0.9982619515991901,-52.49519581931884,739.819936852303,209.17522263379414
2024-08-18,AM/PM,Leach Feed DS (06-18),239.76402531998195,33.5,0.8090645514638285,0.04012050565624366,16.811289686158542,101.37608011091321,1.0110066782092506,142.85714285714286,,5.7,19.4,11.9,198.6,235.6,0.0,0.024193548387096777,0.08234295415959253,0.05050933786078099,0.8429541595925297,1.0,1.0,0.9758064516129032,0.8934634974533107,0.8429541595925296,0,0.9758064516129032,0.3298189937549978,,0.06,0.14,0.18,0.74,0.0,0.0022475749848847298,0.01784916274545885,0.014076917010593833,0.9658263452590626,1.0,0.9977524250151153,0.9799032622696564,0.9658263452590625,0,0.9977524250151153,-56.240149393090235,239.76402531998195,645.4346092724818
2024-08-20,AM/PM,Leach Feed DS (06-18),1169.074004527007,36.0,0.4247003945911932,0.03568469154107277,12.74769963092972,82.43942190838628,1.0110066782092506,125.0,,21.5,40.7,14.5,187.8,264.5,0.0,0.08128544423440454,0.15387523629489605,0.054820415879017016,0.7100189035916825,1.0,1.0,0.9187145557655955,0.7648393194706994,0.7100189035916824,0,0.9187145557655955,60.3186684611602,,0.27,0.38,0.45,0.63,0.0,0.03973034015467798,0.105851755526658,0.04465813428238998,0.809759770036274,1.0,0.960269659845322,0.8544179043186639,0.809759770036274,0,0.960269659845322,23.058197126523964,1169.074004527007,132.37143192026645
2024-08-21,AM/PM,Leach Feed DS (06-18),160.00002135955205,34.0,0.5471610755115717,0.030057328996695547,13.959025893552129,85.70192356111494,1.0110066782092506,112.5,0.0,27.8,33.8,14.4,99.6,175.6,0.0,0.15831435079726652,0.19248291571753987,0.08200455580865604,0.5671981776765376,1.0,1.0,0.8416856492027335,0.6492027334851936,0.5671981776765376,0,0.8416856492027335,86.08720160040642,,0.28,0.53,0.73,0.62,0.0,0.07945938220942816,0.18286682591208836,0.10730691492619589,0.6303668769522877,1.0,0.9205406177905718,0.7376737918784835,0.6303668769522875,0,0.9205406177905718,71.30378092656721,160.00002135955205,967.199870881525
2024-08-24,AM/PM,Leach Feed DS (06-18),251.95003005235804,36.25,0.40047746311860616,0.030086029948655082,9.96715047750579,78.60588893187864,1.0110066782092506,62.5,,,,42.7,147.2,189.89999999999998,0.0,0.0,0.0,0.22485518694049503,0.775144813059505,1.0,1.0,1.0,1.0,0.775144813059505,0,1.0,43.78485558157689,,,,0.2,0.33,0.0,0.0,0.0,0.14952027452902866,0.8504797254709714,1.0,1.0,1.0,0.8504797254709713,0,1.0,20.3316783762686,251.95003005235804,614.217033305536
2024-09-03,AM/PM,Leach Feed DS (06-18),426.83,31.875,0.44,0.0299993317736528,12.0,80.0,1.8164834789517417,55.0,8.7,29.4,33.6,8.1,181.0,260.79999999999995,0.033358895705521474,0.11273006134969327,0.1288343558282209,0.03105828220858896,0.6940184049079756,1.0000000000000002,0.9666411042944785,0.8539110429447851,0.7250766871165643,0.6940184049079753,0,0.8539110429447851,73.35853776664078,0.3,0.34,0.44,0.39,0.4,0.02535235893500665,0.09709662065683007,0.14360508601346297,0.030685096504094254,0.703260837890606,0.9746476410649934,0.8775510204081632,0.7339459343947002,0.703260837890606,0,0.8775510204081632,68.72802529873206,426.83,362.5612070379308
2024-09-05,AM/PM,Leach Feed DS (06-18),678.2400000000001,31.875,0.87,0.029989733959488,10.0,74.0,1.8164834789517417,54.166666666666664,32.3,29.4,38.4,12.4,248.0,360.5,0.08959778085991678,0.08155339805825243,0.10651872399445214,0.034396671289875176,0.6879334257975035,1.0,0.9104022191400832,0.8288488210818308,0.7223300970873786,0.6879334257975034,0,0.8288488210818308,83.27750245308101,1.39,0.89,0.75,1.41,0.82,0.1399938261403711,0.08158849042895852,0.08980159460192637,0.05451705138958613,0.6340990374391579,0.860006173859629,0.7784176834306704,0.688616088828744,0.6340990374391579,0,0.7784176834306704,106.18409620359432,678.2400000000001,228.1670205237084
2024-09-06,AM/PM,Leach Feed DS (06-18),155.18,31.875,0.8,0.0399969492762047,11.0,85.0,1.8164834789517417,112.5,45.6,60.0,36.5,13.9,226.0,382.0,0.1193717277486911,0.15706806282722513,0.09554973821989529,0.03638743455497382,0.5916230366492147,1.0,0.8806282722513089,0.7235602094240838,0.6280104712041885,0.5916230366492147,0,0.7235602094240838,114.12254153204947,0.61,0.64,0.69,1.53,0.91,0.0873815686964389,0.12063029328240055,0.07911650875826193,0.06680844914679199,0.6460631801161068,0.9126184313035611,0.7919881380211606,0.7128716292628987,0.6460631801161068,0,0.7919881380211606,91.9561218222492,155.18,997.2419126176053
2024-09-08,AM/PM,Leach Feed DS (06-18),464.1579,31.875,0.63,0.05,10.5,80.0,1.8164834789517417,142.85714285714286,64.6,149.9,0.0,44.74,175.0,434.24,0.14876565954310977,0.3452008106116433,0.0,0.10303058216654384,0.40300294767870304,1.0,0.8512343404568903,0.506033529845247,0.506033529845247,0.40300294767870315,0,0.506033529845247,136.37242117034464,0.58,1.25,,1.83,1.33,0.06945371284852905,0.34733344307123765,0.0,0.15176863394104403,0.43144421013918915,0.9305462871514709,0.5832128440802333,0.5832128440802333,0.4314442101391893,0,0.5832128440802333,116.34113258899995,464.1579,333.4037834969522
2024-09-09,AM/PM,Leach Feed DS (06-18),261.265,31.875,0.82,0.02,12.0,92.0,1.8164834789517417,150.0,34.4,77.3,43.6,14.7,237.0,407.0,0.08452088452088452,0.18992628992628993,0.10712530712530713,0.036117936117936116,0.5823095823095823,1.0,0.9154791154791155,0.7255528255528256,0.6184275184275185,0.5823095823095824,0,0.7255528255528256,107.63966342588222,0.45,0.64,1.25,0.34,0.68,0.054199782920766076,0.17321522355659816,0.19081964917194774,0.01749938727635587,0.5642659570743322,0.9458002170792339,0.7725849935226358,0.581765344350688,0.5642659570743321,0,0.7725849935226358,100.36606558822345,261.265,592.3181444127611
2024-09-13,AM/PM,Leach Feed DS (06-18),665.1,31.875,0.61,0.04,11.0,86.0,1.8164834789517417,54.54545454545455,0.0,19.9,22.0,4.3,167.0,213.2,0.0,0.09333958724202626,0.10318949343339588,0.020168855534709193,0.7833020637898687,1.0,1.0,0.9066604127579737,0.8034709193245778,0.7833020637898687,0,0.9066604127579737,41.09121863276067,,0.31,0.3,,0.6,0.0,0.05460790128265276,0.05842310722410573,0.0,0.8869689914932416,1.0,0.9453920987173472,0.8869689914932415,0.8869689914932415,0,0.9453920987173472,-7.123999999999967,665.1,232.6747857465043
2024-09-14,AM/PM,Leach Feed DS (06-18),891.5100000000002,31.875,0.6,0.04,11.0,95.0,1.8164834789517417,129.16666666666666,8.9,36.6,28.9,9.8,142.2,226.39999999999998,0.03931095406360425,0.16166077738515902,0.12765017667844525,0.043286219081272094,0.6280918727915195,1.0,0.9606890459363957,0.7990282685512367,0.6713780918727914,0.6280918727915193,0,0.7990282685512367,89.05739450674645,0.37,0.42,0.6,0.78,0.62,0.024982361375585113,0.11661975677664571,0.13154999886202423,0.057991245173086126,0.6688566378126588,0.9750176386244149,0.8583978818477692,0.726847882985745,0.6688566378126588,0,0.8583978818477692,74.66303125730269,891.5100000000002,173.58414375609917
2024-09-15,AM/PM,Leach Feed DS (06-18),787.1187,31.875,0.65,0.1,12.0,77.0,1.8164834789517417,140.0,2.6,25.8,19.0,8.9,156.1,212.4,0.01224105461393597,0.12146892655367232,0.08945386064030132,0.04190207156308851,0.7349340866290018,1.0,0.987758945386064,0.8662900188323917,0.7768361581920903,0.7349340866290017,0,0.8662900188323917,58.71320577594952,0.24718309859154933,2.452816901408451,0.32,0.41,0.54,0.004068900040689001,0.4006542341840572,0.03849359565120815,0.023102488574220155,0.5336807815498256,0.995931099959311,0.5952768657752537,0.5567832701240456,0.5336807815498255,0,0.5952768657752537,106.89890398841126,787.1187,196.6056707838348
2024-09-16,AM/PM,Leach Feed DS (06-18),851.6096,31.875,0.661,0.065,13.6,102.0,1.8164834789517417,227.27272727272728,11.4,44.0,51.1,10.9,171.6,289.0,0.03944636678200692,0.1522491349480969,0.1768166089965398,0.03771626297577855,0.5937716262975778,1.0,0.960553633217993,0.8083044982698961,0.6314878892733563,0.5937716262975777,0,0.8083044982698961,92.19499354464031,0.36,0.32,0.55,0.66,0.88,0.020069342905066727,0.06885388599009247,0.13743881148803616,0.03518003237306287,0.7384579272437418,0.9799306570949333,0.9110767711048409,0.7736379596168047,0.7384579272437418,0,0.9110767711048409,56.252416618916016,851.6096,181.7170684783262
2024-09-22,AM/PM,Leach Feed DS (06-18),830.5941999999999,31.875,0.7150000000000001,0.0947333243987229,13.0,91.5,1.8164834789517417,240.9090909090909,4.9,13.1,80.4,24.6,330.0,453.0,0.010816777041942605,0.028918322295805737,0.17748344370860927,0.054304635761589407,0.7284768211920529,1.0,0.9891832229580574,0.9602649006622517,0.7827814569536424,0.728476821192053,0,0.9602649006622517,55.37279710634323,0.21505555555555558,0.5749444444444445,0.55,0.88,0.82,0.003053938263172618,0.021827836124242102,0.1281540233739569,0.06273808905471322,0.7842261131839152,0.9969460617368274,0.9751182256125853,0.8469642022386284,0.7842261131839152,0,0.9751182256125853,35.04311835000999,830.5941999999999,186.3148093256611
